F3,F4,Fz,Cz,P3,P4,O1,O2,timestamp
-92806.64,-103853.8,-40812.31,-126177.6,-40840.06,-53821.81,-70096.6,-68121.87,30893
-92831.86,-103897.4,-40839.2,-126196.1,-40875.73,-53836.16,-70101.42,-68121.59,30897
-92869.63,-103966.6,-40923.7,-126176.8,-40989.93,-53814.71,-70137.32,-68145.95,30901
-92864.96,-103950.7,-40927.42,-126173.9,-40974.62,-53819.86,-70165.84,-68178.19,30905
-92840.3,-103875.8,-40847.74,-126201.3,-40870.15,-53840.07,-70131.98,-68160.12,30909
-92848.12,-103875.7,-40835.48,-126206.1,-40870.53,-53840.84,-70105.52,-68128.02,30913
-92876.88,-103952.4,-40915.78,-126186.3,-40980.49,-53818.09,-70136.65,-68140.95,30917
-92874.35,-103953.2,-40936.81,-126170.4,-40990.84,-53801.97,-70157.78,-68158.02,30921
-92852.61,-103879.4,-40865.24,-126190.5,-40885.79,-53821.05,-70133.79,-68147.96,30925
-92841.97,-103867,-40828.43,-126196.5,-40856.18,-53824.81,-70103.23,-68118.06,30929
-92863.77,-103936.7,-40897.42,-126173.5,-40955.55,-53806.84,-70119.44,-68129.74,30933
-92880.79,-103966.6,-40948.3,-126164.3,-41006.95,-53804.84,-70165.26,-68183.29,30937
-92856.85,-103903.5,-40888.51,-126182.7,-40907.01,-53828.58,-70155.25,-68188.73,30941
-92846.69,-103870.5,-40835.2,-126197.5,-40854.94,-53835.5,-70108.85,-68140.57,30945
-92852.8,-103915.3,-40875.54,-126163.2,-40921.27,-53799.3,-70093.93,-68115.25,30949
-92879.98,-103953.5,-40935.67,-126142.7,-40995.32,-53781.61,-70143.28,-68144.62,30953
-92853.37,-103890,-40881.07,-126152.5,-40905.29,-53791.96,-70122.4,-68140.28,30957
-92834.34,-103837.3,-40811.88,-126173.1,-40831.14,-53804.84,-70078.67,-68107.23,30961
-92862.86,-103897.3,-40855.32,-126164.9,-40896.99,-53799.73,-70078.57,-68096.27,30965
-92880.5,-103950.7,-40921.79,-126136.4,-40980.68,-53777.75,-70109.66,-68125.93,30969
-92855.42,-103895.3,-40882.45,-126143.2,-40912.49,-53785.71,-70105.71,-68142.85,30973
-92830.24,-103828.8,-40800.67,-126166.5,-40822.89,-53803.17,-70070.04,-68113.29,30977
-92848.46,-103870.9,-40829.76,-126172,-40869.72,-53807.55,-70070.23,-68103.42,30981
-92879.83,-103943,-40912.11,-126151.4,-40964.85,-53787.43,-70102.66,-68120.44,30985
-92871.06,-103921,-40900.24,-126153.8,-40920.22,-53791.63,-70102.04,-68132.36,30989
-92837.54,-103839.3,-40810.97,-126164.4,-40814.74,-53797.78,-70052.01,-68103.37,30993
-92859.66,-103876.4,-40825.42,-126173.8,-40841.44,-53810.08,-70055.5,-68098.6,30997
-92889.85,-103951.1,-40905.1,-126150,-40949.4,-53786.62,-70095.84,-68114.48,31001
-92881.89,-103925.6,-40906.05,-126134,-40932.42,-53774.79,-70109.86,-68132.7,31005
-92849.84,-103839.4,-40822.75,-126151.6,-40828.09,-53790.39,-70074.9,-68113.62,31009
-92850.32,-103843.8,-40806.82,-126158.2,-40824.85,-53794.73,-70055.59,-68091.26,31013
-92879.5,-103918.3,-40884.12,-126137.8,-40932.61,-53769.84,-70074.38,-68094.36,31017
-92871.3,-103902.4,-40894.9,-126109.5,-40940.96,-53739.46,-70079.91,-68094.69,31021
-92847.08,-103843.1,-40829.47,-126139,-40845.78,-53770.41,-70065.46,-68097.89,31025
-92846.03,-103836.5,-40798.72,-126160.3,-40820.89,-53788.62,-70042.48,-68077.81,31029
-92874.4,-103908.7,-40869.58,-126144.5,-40910.49,-53776.37,-70061.79,-68087.87,31033
-92881.41,-103929.7,-40913.06,-126124.6,-40963.94,-53757.49,-70096.31,-68118.92,31037
-92857.09,-103861.9,-40852.55,-126143.1,-40869.24,-53775.27,-70078.81,-68121.06,31041
-92850.89,-103820.6,-40795.05,-126161.8,-40822.13,-53789.43,-70045.05,-68091.74,31045
-92881.89,-103888.5,-40852.74,-126149.3,-40898.66,-53777.66,-70044.24,-68085.35,31049
-92892.66,-103930.9,-40911.39,-126127.6,-40967.18,-53758.06,-70068.56,-68108.09,31053
-92867.63,-103876.1,-40866.57,-126141.9,-40885.69,-53774.94,-70063.89,-68120.11,31057
-92850.8,-103826.8,-40801.25,-126167.9,-40819.84,-53796.87,-70045.53,-68109.43,31061
-92871.49,-103888.2,-40846.88,-126162.7,-40882.78,-53794.68,-70045.34,-68094.84,31065
-92891.09,-103941.2,-40916.21,-126128.8,-40969.81,-53764.97,-70071.85,-68102.9,31069
-92868.68,-103884.7,-40879.45,-126128.3,-40900.19,-53762.73,-70069.13,-68117.34,31073
-92850.65,-103814.2,-40801.63,-126152.3,-40805.44,-53780.85,-70030.08,-68100.56,31077
-92854.85,-103840.6,-40812.07,-126137.5,-40837.96,-53764.64,-69998.61,-68066.94,31081
-92893.47,-103919,-40902.24,-126122.4,-40952.5,-53748.76,-70036.28,-68091.98,31085
-92885.22,-103890.2,-40897.57,-126124.1,-40923.36,-53751.43,-70056.45,-68115.77,31089
-92859.9,-103815.5,-40816.89,-126147,-40821.22,-53768.17,-70022.12,-68094.5,31093
-92871.2,-103842.8,-40818.75,-126151.9,-40838.06,-53773.13,-70006.57,-68074.57,31097
-92896.24,-103914.8,-40899.24,-126127.4,-40946.92,-53749.95,-70036.66,-68090.59,31101
-92885.84,-103898.5,-40903.29,-126110,-40939.77,-53733.83,-70044.91,-68100.75,31105
-92855.56,-103820.7,-40825.42,-126130.3,-40831.43,-53753.1,-70015.49,-68082.82,31109
-92861.48,-103827.3,-40808.73,-126143.7,-40823.51,-53764.59,-70003.57,-68065.13,31113
-92895.09,-103909.7,-40886.6,-126125.1,-40932.52,-53746.85,-70027.7,-68075.48,31117
-92896.14,-103914,-40912.11,-126107.4,-40955.03,-53731.12,-70049.3,-68090.21,31121
-92873.02,-103839.7,-40843.4,-126127.7,-40854.46,-53751.05,-70024.55,-68080.05,31125
-92861.29,-103813.5,-40793.38,-126135.9,-40815.22,-53755.82,-69995.08,-68053.83,31129
-92891.85,-103893.1,-40865.33,-126125.7,-40908.77,-53750.95,-70018.49,-68067.66,31133
-92903.82,-103926.9,-40915.11,-126110.2,-40964.71,-53737.98,-70052.01,-68094.98,31137
-92868.2,-103854.2,-40846.88,-126119.2,-40862.85,-53748.04,-70026.03,-68090.97,31141
-92846.07,-103806.8,-40776.31,-126129.2,-40800.2,-53756.25,-69982.83,-68064.08,31145
-92874.45,-103870.6,-40827.09,-126118.6,-40880.4,-53741.32,-69992.7,-68051.02,31149
-92890.61,-103919.5,-40894.32,-126097.6,-40959.03,-53719.29,-70031.22,-68077.19,31153
-92868.2,-103862.3,-40853.79,-126108.6,-40873.44,-53727.68,-70019.21,-68086.63,31157
-92846.36,-103797.6,-40782.17,-126133.5,-40794.95,-53747.66,-69987.26,-68068.32,31161
